File name: DL1k_Trace.txt 
Downlink Channel Characterization.
 
good    bad 
2	1 
5	2 
1	1 
3	1 
2	1 
1	1 
1	4 
2	3 
1	8 
5	2 
2	2 
3	2 
4	2 
4	1 
4	2 
4	2 
2	2 
5	5 
9	1 
2	1 
7	1 
4	3 
3	2 
5	1 
4	2 
1	4 
1	1 
4	4 
4	2 
2	1 
3	2 
6	1 
1	1 
17	4 
5	4 
2	6 
11	2 
2	1 
4	3 
8	2 
3	2 
3	3 
5	3 
6	2 
2	6 
7	1 
2	3 
3	2 
4	2 
3	2 
4	5 
3	1 
1	1 
2	1 
1	8 
1	2 
11	2 
5	2 
2	1 
3	5 
4	4 
2	5 
6	1 
4	5 
5	2 
5	2 
2	2 
3	1 
1	1 
2	2 
5	4 
5	2 
2	1 
2	1 
3	3 
7	1 
1	1 
2	3 
3	4 
2	1 
4	5 
6	1 
2	1 
1	2 
1	1 
5	1 
6	1 
15	2 
3	5 
6	1 
4	4 
1	1 
4	1 
5	1 
5	2 
8	2 
4	2 
6	1 
1	1 
5	2 
6	2 
21	2 
8	1 
6	2 
1	3 
10	1 
2	2 
5	1 
29	1 
1	1 
2	2 
3	1 
1	1 
2	6 
10	2 
1	1 
3	2 
9	1 
4	1 
7	1 
2	1 
3	5 
5	1 
5	3 
14	1 
4	1 
10	2 
12	2 
4	5 
4	2 
1	1 
3	2 
3	2 
14	1 
2	2 
4	4 
3	2 
1	2 
10	4 
7	1 
9	2 
16	3 
5	1 
1	1 
2	2 
1	2 
1	2 
10	1 
19	4 
5	3 
6	2 
5	3 
5	1 
15	2 
3	1 
15	2 
31	1 
19	2 
1	1 
9	1 
2	2 
24	1 
4	1 
5	2 
6	1 
2	1 
4	2 
17	2 
10	1 
5	1 
10	1 
3	3 
15	2 
5	2 
8	2 
9	1 
2	1 
2	7 
3	2 
3	3 
9	1 
20	1 
2	1 
1	3 
7	1 
4	7 
9	5 
12	1 
4	1 
7	2 
2	1 
2	1 
1	3 
1	1 
3	2 
4	5 
5	1 
6	1 
4	1 
16	1 
7	2 
1	1 
2	2 
2	1 
6	1 
5	1 
3	1 
14	4 
2	1 
4	12 
5	1 
3	4 
2	2 
5	1 
2	3 
4	1 
4	1 
4	2 
1	2 
1	2 
1	1 
6	2 
1	5 
2	2 
15	1 
6	1 
3	1 
4	3 
6	3 
2	7 
10	3 
14	2 
11	2 
2	1 
3	2 
7	1 
23	1 
7	1 
2	1 
1	1 
4	4 
1	1 
1	2 
2	4 
1	4 
1	1 
6	1 
3	2 
1	1 
2	2 
9	1 
5	1 
3	1 
2	2 
4	1 
2	5 
9	5 
5	2 
4	3 
3	2 
10	1 
4	2 
1	1 
5	2 
4	3 
22	1 
8	1 
1	2 
9	1 
5	4 
27	2 
3	1 
16	2 
13	4 
9	1 
3	1 
2	1 
1	1 
15	2 
16	4 
4	1 
1	1 
3	4 
1	1 
10	2 
28	4 
2	3 
14	1 
19	2 
15	4 
6	2 
5	1 
2	1 
33	1 
8	2 
5	2 
5	1 
43	1 
2	1 
16	2 
12	1 
15	1 
18	1 
2	1 
9	1 
41	1 
13	1 
1	2 
13	1 
37	3 
12	1 
3	2 
37	1 
14	1 
4	1 
36	1 
6	2 
13	2 
2	1 
16	1 
31	2 
36	1 
16	1 
16	1 
52	1 
32	2 
30	1 
2	1 
1	2 
49	3 
49	1 
15	1 
15	1 
68	1 
30	1 
21	1 
42	1 
26	1 
73	1 
16	1 
52	2 
13	2 
51	1 
15	1 
37	1 
15	2 
42	2 
8	2 
15	1 
53	1 
12	1 
31	1 
19	1 
9	1 
36	1 
8	2 
4	2 
28	1 
2	1 
29	3 
49	2 
3	1 
10	1 
30	1 
26	2 
49	1 
66	4 
12	2 
36	2 
15	1 
15	2 
3	1 
48	2 
5	2 
44	1 
31	1 
40	1 
27	1 
40	2 
11	2 
3	1 
32	1 
71	1 
51	3 
67	1 
70	1 
11	2 
92	1 
31	3 
293	1 
58	1 
46	1 
323	1 
160	1 
190	1 
66	1 
71	1 
146	1 
87	1 
98	1 
77	1 
128	1 
15	1 
142	1 
34	1 
528	1 
91	1 
70	2 
166	1 
15	2 
71	1 
179	1 
31	1 
11	2 
34	1 
362	2 
19	1 
52	1 
39	1 
30	3 
37	2 
21	1 
39	2 
13	2 
4	1 
16	1 
14	2 
7	1 
14	1 
12	4 
14	3 
35	1 
16	2 
17	1 
1	1 
6	1 
1	2 
1	1 
3	1 
12	4 
22	1 
13	1 
1	1 
20	1 
3	1 
13	1 
8	2 
28	1 
8	1 
7	1 
7	1 
7	1 
13	3 
22	1 
15	2 
14	2 
2	2 
50	4 
21	1 
4	1 
43	1 
15	1 
15	1 
8	1 
35	1 
14	2 
2	1 
24	1 
2	1 
32	1 
2	1 
11	3 
2	1 
13	1 
12	1 
44	1 
23	2 
6	2 
7	1 
128	1 
4	1 
24	1 
13	1 
2	2 
9	2 
21	1 
31	1 
24	1 
12	1 
16	2 
15	3 
54	1 
29	1 
17	1 
38	1 
63	1 
39	7 
21	1 
1	1 
13	2 
10	1 
73	2 
16	1 
31	2 
15	3 
12	1 
8	2 
37	1 
6	1 
54	2 
