File name: DLbad
Downlink Channel Characterization.

good    bad
8       2
1       3
16      16
42      1
6       3
2       1
6       62
3       1
2       9
3       11
2       1
27      6
1       1
6       1
6       248
1       10
5       1
3       16
1       3
2       1
29      10
1       1
2       14
11      9
6       2
3       1
48      1
2       1
106     2
201     1
527     1
18      1
811     3
536     1
1       1
5       8
73      12
2       1
42      1
6       1
2       1
5       1
1       27
6       1
9       1
3       6
2       25
63      1
4       25
2       2
62      3
4       4
3       10
236     1
503     5
2       7
172     1
4       2
60      1
4       3
5       1
3       1
9       13
2       2
39      3
2       1
1       5
2       3
3       2
12      1
1       1
3       6
2       1
174     1
2       2
81      14
1       1
2       1
2       10
1       2
28      18
3       1
8       13
10      6
2       1
141     6
12      1
89      14
32      1
2       4
1       2
3       2
2       6
50      2
366     1
2       2
108     6
2       1
164     15
436     2
650     2
171     1
36      3
2       1
3       1
1       1
7       14
2       2
30      10
47      4
535     1
2       2
1       2
5       2
9       1
2       1
1       2
63      1
2616    1
2       5
65      1
480     1
225     1
97      3
1       24
2       1
3       1
4       11
18      23
237     5
237     4
30      4
24      2
1158    70
23      6
9       1
95      7
137     8
3       1
5       1
2       2
47      4
72      2
1       3
2       22
27      8
2       18
8       4
92      1
90      7
22      17
8       5
67      12
4       4
1       1
46      9
17      6
1       1
16      1
5       14
70      1
5       17
75      7
137     7
32      1
1       1
36      17
1       9
87      1
2       44
93      16
27      1
5       1
5       16
18      1
2       3
28      1
1       13
2       1
12      1
13      1
2       5
11      24
48      11
59      12
28      4
468     1
9       1
43      1
3       2
1       1
2       1
21      1
1       2
41      2
2       1
3       1
3       2
1       4
3       3
81      12
1       4
3       3
30      1
1       9
1       2
4       1
2       2
3       1
5       1
54      1
6       1
4       1
6       27
8       1
2       1
1       10
2       4
38      1
17      14
3       1
3       1
6       1
27      1
3       24
5       1
2       30
126     4
1       13
63      10
2       12
138     8
151     2
3       1
8       1
291     1
2       15
2       5
18      1
3       1
111     2
2       1
1       2
237     1
2       1
104     1
26      4
18      10
1       1
3       7
43      20
3       22
1       5
2       1
5       1
122     2
2       1
25      20
60      1
38      8
2       2
2       10
39      1
17      20
2       1
12      12
324     4
164     2
2       3
1       8
3       1
30      1
12      1
5       21
7       12
32      4
2       17
3       1
9       25
66      18
2       1
1       1
203     4
8       20
35      2
2       1
5       2
5       1
1       29
2       1
3       1
41      49
42      6
1       19
10      1
1       1
3       15
2       1
45      13
2       10
3       1
3       16
43      8
310     15
1       41
11      17
2       1
72      1
2       12
3       1
3       1
34      2
120     1
2       2
229     5
2       14
143     1
2       11
1       19
1       2
39      3
102     28
101     5
62      21
2728    2
616     1
98      1
21      1
2       1
3       1
1       3
14      1
112     2
1       10
38      1
2       22
34      7
2       1
3       1
107     1
3       26
65      19
2       1
20      3
17      26
4       1
1       1
4       1
34      1
3       1
7       1
3       1
1       15
27      1
50      1
22      2
2       17
36      1
3       1
14      6
7       5
3       10
83      4
1       1
12      1
4       4
163     1
232     1
123     8
29      12
2       1
18      25
2       1
2       31
29      3
2       4
27      1
2       1
3       10
2       1
7       1
2       72
2       44
15      1
2       5
1       12
36      1
2       1
206     17
5       1
52      1
6       1
62      1
4       2
2       2
5       2
13      2
1       1
5       1
2       1
9       1
3       1
1       3
2       1
5       1
3       1
4       2
2       17
1       8
2       1
4       3
5       1
3       18
343     1
143     27
106     3
117     19
180     1
7       1
16      3
1       1
3       1
6       2
1       20
85      1
2       1
4       2
1       1
61      1
18      1
90      1
32      2
2       6
2       2
269     2
1       3
3       1
2       1
1       6
4       1
1       7
3       1
16      1
1       1
5       1
3       7
3       2
1       3
4       2
1       1
3       6
4       2
16      1
3       1
3       1
1000    1
3       1
1       8
2       2
3       1
12      1
88      1
5       3
2       3
1       1
1       29
2       1
1090    1
120     3
239     2
12      2
186     1
2       2
1069    1
9       2
2       2
1       4
94      1
2       17
1       2
12      1
15      2
29      1
7       6
2       1
2       1
13      1
7       1
1       5
3       1
19      1
3       1
36      1
28      4
1       1
3       2
4       15
484     29
16      5
1       9
333     1
67      1
2       13
1       7
32      14
40      1
2       6
2       1
41      1
145     626
264     12
594     5
1       8
483     15
1534    1
2       1
3       1
3       2
3       1
4       2
1       2
99      1
2       1
3       1
61      1
1       2
122     1
7       2
2       1
6       1
423     1
43      13
234     31
35      5
51      1
69      1
2       1
168     1
3       6
1       3
5       4
3       1
3       28
1       8
2       1
6       1
3       22
2       2
3       1
7       1
1       1
29      4
5       7
851     1
612     1
3       1
327     12
15      11
31      2
48      7
1       2
1       3
2       1
4       38
2       1
53      2
69      1
2       2
1       3
2       4
1       1
24      2
1       1
3       29
3       2
40      11
3       1
2       1
1       1
68      6
48      16
51      12
22      1
2       10
12      15
102     1
114     1
2       28
1       3
6       1
2       1
3       1
2       1
2       2
2       1
53      1
1       7
1       8
106     1
113     2
1       14
63      16
1       1
87      1
6       3
26      20
3       15
65      1
123     67
1       3
85      1
1       2
4       21
1       1
22      1
6       1
19      2
6       1
2       1
18      1
2       4
1       1
39      14
645     13
1329    1
12      2
3       1
3       2
3       1
20      2
105     1
37      3
2       4
63      6
48      1
2       1
45      1
3       1
70      30
9       1
215     6
8       4
1       2
321     2
3       2
6       22
3       1
2       1
26      32
4       2
4       63
7       40
22      5
2       1
1       1
30      14
3       10
44      1
2       26
39      6
2       1
2       2
4       2
1       1
3       1
4       1
16      13
10      23
2       1
22      72
8       1
1       1
21      7
1       2
3       6
72      24
1       2
12      10
42      3
8       1
1       3
18      15
114     22
194     14
84      17
2       3
2       5
22      38
28      1
2       1
37      9
9       1
7       1
15      5
2       1
3       1
2       1
2       2
1       2
33      1
5       11
94      3
165     25
21      38
2       1
33      1
2       52
5       1
1       2
1       1
2       14
2       3
2       97
2       7
96      1
1       3
13      11
104     16
10      44
2       2
1       1
70      18
2       3
141     1
2       1
4       3
2       5
5       1
3       1
85      1
126     1
4       1
5       1
2       1
2       2
4       1
2       1
16      3
65      15
18      1
4       41
31      10
4       2
2       14
1       3
3       1
8       16
7       8
20      21
1       23
2       7
1       6
61      18
155     12
401     22
28      14
6       1
64      1
3       5
1       1
21      21
111     1
5       1
2       1
1       6
26      21
1       1
7       9
11      3
1       1
6       1
497     9
1       4
2       1
410     10
60      1
23      12
8       1
1       3
2       4
13      27
12      1
2       1
4       3
39      12
1       2
12      1
2       9
31      1
4       9
2       1
7       1
2       13
14      35
17      13
2       1
37      8
2       2
1       2
1       1
2       1
24      12
88      1
2       1
50      6
1       7
2       1
86      1
1       11
1       1
576     2
2       11
21      1
413     1
3       2
1       11
3       1
2       2
9       1
3       2
1       1
3       1
2       1
9       3
1       40
11      1
19      2
8       16
861     1
521     2
2       1
53      2
3       11
97      11
69      2
1       56
5       13
6       11
1       1
2       1
7       11
1       33
29      1
9       1
10      1
3       1
3       1
3       2
40      14
2       1
25      3
14      1
21      1
1       6
128     4
30      1
5       12
3       40
16      37
3       1
2       10
1       1
2       35
1       2
2       14
2       1
1       3
4       1
5       2
10      5
9       1
1       2
26      21
3       4
30      15
70      4
51      7
2       1
1       3
44      18
4       13
12      13
212     17
144     32
47      13
2       4
1       1
2       11
6       2
84      1
1       8
147     22
304     36
2       5
13      1
4       1
2       9
1       20
178     1
10      4
5       2
3       1
6       1
7       1
14      15
18      1
3       1
155     6
1       8
2       36
9       1
1       1
2       10
2       1
1       2
1       6
2       1
35      8
17      19
61      2
6       1
24      6
52      7
14      12
72      5
1       1
50      6
81      1
41      13
389     8
2       1
256     5
1       14
35      9
100     7
26      1
42      6
19      14
5       2
3       5
13      4
6       3
2       19
4       1
2       1
2       1
10      9
40      1
8       13
1       2
2       13
2       5
3       1
57      5
2       10
19      5
1       6
3       1
2       10
219     16
55      1
5       1
1       2
2       1
1       2
1       6
2       1
3       1
129     1
2       2
2       1
103     9
3       12
3       3
2       5
3       1
3       36
21      66
1       2
15      1
63      1
3       1
3       1
9       24
2       2
2       1
4       18
3       1
3       17
2       10
36      7
72      6
29      7
82      5
15      4
2       8
14      1
4       1
3       21
2       1
1       8
247     42
5       64
21      3
2       17
16      5
23      1
3       1
1       2
84      1
5       5
3       8
142     3
3       1
1       9
126     1
6       52
12      18
20      78
8       102
1       10
409     1
381     7
32      13
469     9
5       25
1       45
2       25
5       16
37      31
57      1
2       16
2       112
2       8
3       7
4       4
193     6
39      15
1       2
105     2
68      59
102     23
6       5
5       6
2       1
9       19
15      1
5       1
254     1
3       3
94      10
64      11
289     1
1       22
2       33
27      2
3       5
3       4
1       33
48      1
2       13
2       5
9       1
1       1
23      5
3       2
51      1
2       1
1       13
3       2
2       6
1       9
32      1
1       33
5       17
20      1
2       4
1       1
4       1
23      5
22      3
2       1
3       1
55      10
4       12
115     1
2       2
1       4
4       2
2       40
1       2
1       38
1       2
1       24
2       2
60      1
53      1
23      22
2       2
2       1
2       4
37      11
306     15
2       1
336     6
3       1
3       27
2       49
1       3
3       1
29      2
2       4
1       16
2       3
21      22
5       2
6       2
1       2
1       2
9       1
2       1
9       1
2       2
36      1
2       33
1       3
2       16
200     3
1       1
20      12
219     91
5       1
2       38
2       39
1       1
8       1
2       2
9       1
9       3
2       1
6       1
4       4
1       4
4       1
3       1
3       1
2       1
2       1
2       1
2       2
2       1
3       1
2       1
1       1
2       2
2       1
6       3
1       3
2       1
7       4
2       10
53      11
14      2
12      1
23      1
1       3
3       2
107     30
2       1
43      1
2       7
1       18
2       1
3       1
2       1
2       1
2       1
1       1
2       3
3       1
2       2
1       3
4       3
2       1
4       2
1       1
341     1
185     1
8       1
6       1
88      2
39      6
8       1
5       2
1       12
12      1
19      1
13      1
2       1
7       2
2       19
1       1
29      1
3       1
2       1
6       1
4       27
212     4
2       141
3       7
249     26
2       2
5       1
2       4
3       4
71      1
9       4
56      4
30      1
21      19
2       8
1       8
2       8
1       8
2       8
1       8
2       8
1       8
2       8
2       8
1       8
2       8
1       8
2       8
1       8
2       8
1       8
1       8
2       8
1       8
1       8
2       8
1       8
2       8
2       8
1       8
1       8
2       8
1       8
2       8
1       8
2       8
1       8
2       8
1       8
2       8
2       8
1       8
2       8
1       8
2       8
1       8
1       9
3505    1
14      1
2       1
4       17
2       2
17      1
7       1
63      1
2       1
13      1
2       57
1       24
12      1
4       1
1       1
26      14
948     1
4       1
2       2
2       1
2       1
3       1
8       1
136     1
923     11
2       21
2       11
2       2
13      2
4       1
2       2
2       13
2       1
1       1
733     1
43      1
67      2
2       1
68      2
3       1
100     1
65      1
17      1
60      1
3       5
2       1
5       1
3       1
3       1
12      1
46      2
1       21
6       70
7       2
34      13
104     1
92      49
1       13
2       7
2       1
7       2
2       1
13      1
6       2
1       3
12      3
2       47
2       1
2       3
3       80
3       87
2       8
2       8
2       8
1       8
2       8
1       8
2       8
1       8
1       8
2       8
1       8
2       8
1       8
2       8
1       8
2       8
1       8
2       8
1       8
2       8
1       8
2       8
1       8
2       8
2       8
1       8
1       8
2       8
1       8
2       8
1       8
2       14
2       1
5       1
72      1
2       1
17      1
6       1
23      1
13      3
65      1
10      3
5       1
1       4
5       1
2       1
95      2
3       16
1       9
248     16
302     1
4       1
7       1
2       1
123     1
714     1
23      1
3       1
2       1
24      1
68      1
2       1
36      1
5719    2
25      1
1       1
4       2
12      1
49      2
2       1
20      2
29      1
2       1
2       2
3       5
2       3
12      1
17      1
56      1
31      1
4       14
313     5
2       7
1714    1
37      1
663     1
15      1
1       9
2       24
1       1
2       1
4       3
7       1
6       1
5       1
3       1
37      6
2       2
2       63
2       1
2       2
1       18
3       27
2       1
2       1
9       1
7       11
3       12
2       4
1       1
2       1
2       1
2       23
1       6
1       3
2       25
3       1
2       1
6       1
6       2
13      1
6       3
2       1
2       2
1       41
1       15
2       1
2       2
1       6
2       1
3       1
2       76
3       31
2       3
2       2
9       1
1       1
4       1
2       1
1       1
2       2
3       1
9       6
2       1
6       1
1       1
3       8
2239    1
29      1
2       1
1       1
2       1
2       1
3       1
6       1
4       1
22      4
2       1
3       4
338     1
2       1
9       1
3       3
1105    3
5       1
1       6
2       3
1       1
2       5
2       15
1       16
2       12
2       2
1       3
2       1
1       4
2       2
5       1
2       2
2       1
2       1
15      1
5       4
1       1
5       133
20      1
3       14
3       1
5       1
2       1
3       1
44      1
4       1
178     1
4       13
693     1
26      1
48      1
2       1
4       431
1       5
5       2
2       1
1       1
4       1
3       1
2       1
6       1
3       6
2       8
2       4
1       1
2       3
1       1
8       1
2       1
3       1
8       1
3       1
3       2
3       1
2       1
3       1
4       2
1       3
3       1
7       1
1       1
2       1
41      1
3       1
34      1
6       13
2       1
2       1
268     37
41      1
6       1
2       1
2       1
14      4
3       1
2       1
1       4
3       2
1       4
4       2
2       1
6       1
4       1
9       2
1       1
3       2
1       4
1       4
138     1
16      14
286     5
1       17
129     4
2       1
3       1
2       4
2       1
2       4
2       3
3       2
2       2
6       1
5       1
5       1
6       4
8       1
23      1
38      1
655     1
22      1
12      1
207     1
6       9
1       5
501     5
1       7
546     1
6       1
149     1
7       5
2       2
1       1
4       1
2       2
1       3
1       3
125     12
236     5
2       7
2985    1
40      1
102     59
1       4
3       2
4       7
1       9
